"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"16/05/2025","32,39","32,43","32,43","31,91","0,80K","-0,06%"
"15/05/2025","32,41","32,43","32,43","32,02","0,32K","1,19%"
"14/05/2025","32,03","32,43","32,43","32,03","0,20K","-1,26%"
"13/05/2025","32,44","32,01","32,45","32,01","1,13K","0,43%"
"12/05/2025","32,30","32,45","32,45","32,30","0,02K","0,94%"
"09/05/2025","32,00","32,00","32,45","32,00","0,31K","-1,51%"
"08/05/2025","32,49","32,00","32,49","32,00","1,35K","-0,03%"
"07/05/2025","32,50","32,49","32,50","32,00","3,51K","1,56%"
"06/05/2025","32,00","32,50","32,50","32,00","1,26K","-1,54%"
"05/05/2025","32,50","32,50","32,50","32,50","0,02K","0,00%"
"02/05/2025","32,50","32,02","32,50","32,02","2,75K","1,56%"
"30/04/2025","32,00","32,70","32,70","32,00","0,41K","-2,02%"
"29/04/2025","32,66","32,50","32,67","32,50","0,58K","0,49%"
"28/04/2025","32,50","32,70","32,70","31,60","2,16K","0,62%"
"25/04/2025","32,30","32,30","32,30","32,10","1,47K","0,00%"
"24/04/2025","32,30","32,02","32,30","32,02","0,31K","0,91%"
"23/04/2025","32,01","32,75","32,75","32,00","1,82K","-0,44%"
"22/04/2025","32,15","32,98","32,98","32,15","1,42K","-2,52%"
"21/04/2025","32,98","32,50","33,00","32,50","0,86K","-0,06%"
"18/04/2025","33,00","32,20","33,00","32,20","2,08K","2,74%"
"17/04/2025","32,12","32,50","32,99","32,12","0,59K","-2,61%"
"16/04/2025","32,98","32,99","32,99","32,10","0,51K","-0,06%"
"15/04/2025","33,00","33,00","33,00","32,15","0,48K","2,77%"
"14/04/2025","32,11","32,11","32,11","32,11","0,01K","0,34%"
"11/04/2025","32,00","32,99","32,99","32,00","0,15K","-3,03%"
"10/04/2025","33,00","32,01","33,68","32,01","1,29K","2,48%"
"09/04/2025","32,20","32,36","32,36","32,10","1,05K","-0,16%"
"08/04/2025","32,25","33,72","33,72","32,25","0,91K","-0,77%"
"07/04/2025","32,50","33,01","33,01","32,10","3,35K","-3,73%"
"04/04/2025","33,76","33,77","33,77","33,00","1,63K","2,30%"
"03/04/2025","33,00","34,00","34,00","33,00","1,80K","-2,94%"
"02/04/2025","34,00","34,99","34,99","33,50","0,54K","3,03%"
"28/03/2025","33,00","32,81","34,00","32,81","1,27K","0,00%"
"27/03/2025","33,00","33,99","33,99","33,00","2,72K","-2,31%"
"26/03/2025","33,78","33,79","33,79","33,78","0,36K","-0,32%"
"25/03/2025","33,89","34,00","34,00","33,00","1,88K","-0,32%"
"24/03/2025","34,00","33,51","34,00","33,01","0,71K","0,00%"
"21/03/2025","34,00","34,00","34,00","33,51","1,35K","-1,45%"
"20/03/2025","34,50","34,50","34,50","34,00","0,45K","0,00%"
"19/03/2025","34,50","33,99","34,50","33,55","0,43K","1,47%"
"18/03/2025","34,00","33,00","34,79","33,00","2,70K","4,29%"
"17/03/2025","32,60","32,50","33,00","32,50","1,98K","-3,81%"
"14/03/2025","33,89","34,00","34,00","32,76","0,22K","1,77%"
"13/03/2025","33,30","32,25","33,30","32,25","0,35K","3,26%"
"12/03/2025","32,25","33,50","33,50","32,15","0,13K","-3,73%"
"11/03/2025","33,50","33,43","33,50","33,00","1,13K","-0,18%"
"10/03/2025","33,56","32,55","33,56","32,55","0,27K","3,26%"
"07/03/2025","32,50","33,69","33,69","32,50","1,11K","-0,18%"
"06/03/2025","32,56","33,74","33,74","32,56","0,01K","-2,81%"
"05/03/2025","33,50","33,85","33,85","33,00","0,14K","-1,18%"
"04/03/2025","33,90","33,95","33,95","33,90","0,17K","3,35%"
"03/03/2025","32,80","32,80","32,80","32,80","0,30K","0,09%"
"28/02/2025","32,77","33,50","33,99","32,54","0,73K","-2,18%"
"27/02/2025","33,50","34,50","34,50","33,50","1,47K","-2,56%"
"26/02/2025","34,38","34,46","34,50","33,50","2,32K","-0,03%"
"25/02/2025","34,39","33,94","34,44","33,90","1,18K","1,30%"
"24/02/2025","33,95","33,30","34,00","32,29","1,91K","1,71%"
"21/02/2025","33,38","32,00","33,97","32,00","4,16K","4,31%"
"20/02/2025","32,00","31,11","32,39","31,11","7,70K","-2,14%"
"19/02/2025","32,70","32,82","32,90","32,50","0,88K","-0,61%"
"18/02/2025","32,90","32,82","32,99","32,82","0,55K","-1,50%"
"17/02/2025","33,40","32,82","33,40","32,82","0,08K","1,21%"
"14/02/2025","33,00","33,50","33,50","33,00","0,31K","-1,40%"
"13/02/2025","33,47","33,00","33,62","32,80","1,28K","1,42%"
"12/02/2025","33,00","33,00","33,00","32,99","1,93K","0,58%"
"11/02/2025","32,81","32,85","32,85","32,80","0,16K","0,12%"
"10/02/2025","32,77","32,77","33,00","32,51","1,55K","-0,70%"
"07/02/2025","33,00","33,00","33,03","32,22","5,10K","0,00%"
"06/02/2025","33,00","33,33","34,00","32,90","6,72K","-2,94%"
"05/02/2025","34,00","33,70","34,67","33,70","4,57K","-2,21%"
"04/02/2025","34,77","33,80","34,79","33,80","0,28K","2,87%"
"03/02/2025","33,80","34,00","34,69","33,80","2,43K","-2,65%"
"31/01/2025","34,72","33,51","34,77","33,51","0,85K","-0,46%"
"30/01/2025","34,88","34,59","34,89","34,59","0,17K","2,47%"
"29/01/2025","34,04","34,06","34,50","34,04","0,10K","-1,33%"
"28/01/2025","34,50","34,50","34,50","34,50","0,20K","-1,29%"
"27/01/2025","34,95","34,97","34,97","34,04","0,42K","0,09%"
"24/01/2025","34,92","34,50","34,92","34,50","0,03K","1,22%"
"23/01/2025","34,50","33,86","34,93","33,86","0,30K","0,03%"
"22/01/2025","34,49","34,01","34,99","34,00","0,18K","-1,46%"
"21/01/2025","35,00","33,86","35,00","33,86","0,68K","0,00%"
"20/01/2025","35,00","35,00","35,95","35,00","2,95K","-0,62%"
"17/01/2025","35,22","35,00","35,98","35,00","0,55K","-2,11%"
"16/01/2025","35,98","36,00","36,00","35,00","0,44K","1,41%"
"15/01/2025","35,48","36,50","36,50","33,50","6,57K","1,37%"
"13/01/2025","35,00","36,50","36,50","35,00","2,16K","-1,96%"
"10/01/2025","35,70","35,75","36,50","35,70","3,12K","-0,22%"
"09/01/2025","35,78","35,00","35,80","34,00","5,22K","2,23%"
"08/01/2025","35,00","36,11","36,11","35,00","0,34K","2,64%"
"07/01/2025","34,10","36,34","36,34","34,10","0,17K","-0,41%"
"06/01/2025","34,24","35,00","36,04","34,00","6,32K","0,71%"
"03/01/2025","34,00","35,00","35,00","33,00","8,74K","-2,86%"
"02/01/2025","35,00","34,50","35,00","34,00","3,03K","0,00%"
"31/12/2024","35,00","34,50","35,35","34,50","1,52K","1,01%"
"30/12/2024","34,65","34,65","34,65","34,65","0,30K","0,46%"
"27/12/2024","34,49","34,50","34,50","34,00","0,06K","-0,89%"
"26/12/2024","34,80","34,90","34,90","34,00","0,29K","-0,43%"
"25/12/2024","34,95","34,00","34,95","34,00","0,84K","2,79%"
"24/12/2024","34,00","34,73","34,73","34,00","0,24K","-2,13%"
"23/12/2024","34,74","34,25","34,74","34,00","0,47K","3,21%"
"20/12/2024","33,66","33,66","33,66","33,66","1,00K","0,48%"
"19/12/2024","33,50","34,24","34,24","33,50","0,27K","-1,47%"
"18/12/2024","34,00","33,97","34,07","33,97","1,42K","1,49%"
"17/12/2024","33,50","34,06","34,06","33,50","0,21K","1,45%"
"16/12/2024","33,02","34,20","34,20","33,02","0,97K","-0,09%"
"13/12/2024","33,05","33,00","33,05","33,00","0,09K","2,13%"
"11/12/2024","32,36","32,36","32,36","32,36","0,02K","-1,94%"
"10/12/2024","33,00","33,00","33,00","33,00","1,19K","0,00%"
"09/12/2024","33,00","32,68","33,00","32,03","0,47K","-0,60%"
"06/12/2024","33,20","33,00","33,20","33,00","1,57K","-0,90%"
"05/12/2024","33,50","33,99","33,99","33,50","0,19K","-1,44%"
"04/12/2024","33,99","33,36","33,99","33,22","0,34K","1,89%"
"03/12/2024","33,36","33,40","33,40","33,36","0,07K","0,00%"
"02/12/2024","33,36","33,34","33,36","33,34","0,25K","-3,44%"
"29/11/2024","34,55","34,64","34,64","34,54","0,13K","1,62%"
"28/11/2024","34,00","34,50","34,50","34,00","0,50K","-1,42%"
"27/11/2024","34,49","33,22","34,49","33,22","0,36K","2,34%"
"26/11/2024","33,70","33,70","33,70","33,70","0,00K","-3,11%"
"25/11/2024","34,78","34,78","34,78","34,78","0,21K","0,00%"
"22/11/2024","34,78","33,08","34,78","33,08","0,05K","5,20%"
"21/11/2024","33,06","34,84","34,85","33,03","1,87K","1,10%"
"20/11/2024","32,70","34,90","34,90","32,70","4,03K","-6,30%"
"19/11/2024","34,90","34,98","35,00","33,20","3,29K","2,05%"
"15/11/2024","34,20","33,05","34,20","33,05","1,16K","3,57%"
"14/11/2024","33,02","33,00","33,78","33,00","0,20K","-1,46%"
"13/11/2024","33,51","33,99","33,99","33,50","0,49K","-1,38%"
"12/11/2024","33,98","33,00","34,00","33,00","0,05K","4,81%"
"11/11/2024","32,42","32,38","32,57","32,38","0,76K","-4,65%"
"08/11/2024","34,00","34,89","34,89","34,00","0,20K","-0,29%"
"07/11/2024","34,10","34,10","34,10","34,10","0,21K","0,00%"
"05/11/2024","34,10","34,03","34,10","34,03","0,13K","0,21%"
"04/11/2024","34,03","31,56","34,04","31,56","0,06K","8,62%"
"01/11/2024","31,33","34,10","34,10","31,33","2,20K","-7,99%"
"31/10/2024","34,05","34,85","34,85","34,05","1,62K","-0,44%"
"30/10/2024","34,20","34,50","34,93","34,05","1,40K","0,44%"
"29/10/2024","34,05","34,05","34,05","34,05","0,59K","0,00%"
"28/10/2024","34,05","34,01","34,99","34,01","5,91K","-2,01%"
"25/10/2024","34,75","34,75","34,75","34,75","0,22K","0,03%"
"24/10/2024","34,74","34,74","34,74","34,74","0,30K","-0,03%"
"23/10/2024","34,75","34,79","35,39","34,74","0,57K","0,03%"
"22/10/2024","34,74","34,76","34,77","34,74","0,31K","-0,20%"
"21/10/2024","34,81","33,99","34,83","33,99","0,34K","4,85%"
"18/10/2024","33,20","33,20","33,20","33,00","0,58K","-3,77%"
"17/10/2024","34,50","34,00","34,50","34,00","0,26K","-1,40%"
"16/10/2024","34,99","35,49","35,49","34,00","2,04K","-2,26%"
"15/10/2024","35,80","35,82","35,82","35,80","0,03K","4,95%"
"14/10/2024","34,11","35,90","35,90","34,07","0,62K","-4,72%"
"11/10/2024","35,80","34,26","35,97","34,26","1,84K","-1,05%"
"09/10/2024","36,18","34,27","36,18","34,25","0,15K","-0,14%"
"08/10/2024","36,23","34,26","36,23","34,26","0,60K","-0,74%"
"07/10/2024","36,50","35,50","36,68","35,50","0,78K","-0,52%"
"04/10/2024","36,69","34,05","36,69","34,05","0,69K","-0,41%"
"03/10/2024","36,84","36,91","36,91","36,00","0,16K","-0,43%"
"02/10/2024","37,00","32,03","37,37","32,03","3,77K","5,71%"
"01/10/2024","35,00","37,58","37,58","35,00","12,04K","-5,41%"
"30/09/2024","37,00","37,82","37,82","36,38","1,73K","1,65%"
"27/09/2024","36,40","37,50","37,50","36,40","0,24K","0,00%"
"26/09/2024","36,40","37,84","37,84","36,38","0,76K","-3,68%"
"25/09/2024","37,79","36,03","37,97","35,02","10,74K","-0,53%"
"24/09/2024","37,99","37,99","37,99","37,99","0,04K","1,31%"
"23/09/2024","37,50","38,10","38,10","37,00","5,26K","-2,60%"
"20/09/2024","38,50","37,22","38,99","37,22","5,99K","-2,21%"
"19/09/2024","39,37","39,40","39,40","39,37","0,94K","6,09%"
"18/09/2024","37,11","37,80","38,00","37,11","5,44K","-1,80%"
"13/09/2024","37,79","37,50","37,79","37,03","0,10K","-0,13%"
"12/09/2024","37,84","37,83","37,84","37,83","0,30K","0,91%"
"11/09/2024","37,50","37,84","37,84","37,11","0,48K","-3,85%"
"10/09/2024","39,00","39,00","39,70","39,00","2,66K","2,58%"
"09/09/2024","38,02","38,00","39,00","38,00","0,98K","0,56%"
"06/09/2024","37,81","37,70","37,81","37,70","3,21K","-0,37%"
"05/09/2024","37,95","39,00","39,00","37,80","0,60K","-4,98%"
"04/09/2024","39,94","37,70","40,00","37,70","1,98K","-0,15%"
"03/09/2024","40,00","41,00","41,00","40,00","3,70K","-2,44%"
"02/09/2024","41,00","41,89","42,00","40,60","13,18K","1,13%"
"30/08/2024","40,54","41,00","43,85","39,65","33,50K","0,05%"
"29/08/2024","40,52","40,52","40,52","40,52","0,98K","9,99%"
"28/08/2024","36,84","36,84","36,84","36,84","2,08K","9,97%"
"27/08/2024","33,50","30,93","33,50","30,93","16,96K","9,98%"
"26/08/2024","30,46","30,49","30,49","30,46","0,01K","2,80%"
"23/08/2024","29,63","29,72","30,90","29,63","1,89K","-2,85%"
"22/08/2024","30,50","30,72","31,00","29,73","0,10K","1,67%"
"19/08/2024","30,00","29,51","30,64","29,51","0,91K","-2,34%"
"16/08/2024","30,72","30,99","30,99","29,40","2,26K","2,40%"
"15/08/2024","30,00","29,79","30,70","29,30","4,02K","3,45%"
"13/08/2024","29,00","28,51","29,00","28,50","0,36K","-1,02%"
"12/08/2024","29,30","29,80","29,80","29,00","0,13K","1,03%"
"09/08/2024","29,00","29,40","29,40","29,00","0,35K","-1,69%"
"08/08/2024","29,50","27,51","29,50","27,51","1,28K","-1,47%"
"07/08/2024","29,94","28,04","29,94","28,04","0,21K","-0,17%"
"06/08/2024","29,99","29,99","29,99","29,99","0,03K","-0,03%"
"05/08/2024","30,00","30,00","30,00","30,00","0,04K","0,00%"
"02/08/2024","30,00","29,90","30,00","29,90","0,20K","0,67%"
"01/08/2024","29,80","29,60","29,80","29,60","0,28K","-0,67%"
