"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"16/05/2025","2.170,0","2.170,0","2.170,0","2.150,0","0,04K","0,93%"
"15/05/2025","2.150,0","2.175,0","2.196,0","2.150,0","0,02K","0,70%"
"14/05/2025","2.135,0","2.130,0","2.199,0","2.130,0","0,19K","0,66%"
"13/05/2025","2.121,0","2.219,0","2.219,0","2.121,0","0,05K","0,38%"
"12/05/2025","2.113,0","2.150,0","2.150,0","2.113,0","0,15K","1,05%"
"09/05/2025","2.091,0","2.098,0","2.100,0","2.091,0","0,17K","0,05%"
"08/05/2025","2.090,0","2.135,0","2.135,0","2.090,0","0,07K","0,48%"
"07/05/2025","2.080,0","2.144,0","2.144,0","2.080,0","0,03K","-1,89%"
"06/05/2025","2.120,0","2.149,0","2.149,0","2.120,0","0,00K","2,32%"
"05/05/2025","2.072,0","2.072,0","2.072,0","2.072,0","0,01K","-0,29%"
"02/05/2025","2.078,0","2.075,0","2.078,0","2.075,0","0,03K","0,29%"
"30/04/2025","2.072,0","2.062,0","2.137,0","2.061,0","0,20K","0,05%"
"29/04/2025","2.071,0","2.062,0","2.072,0","2.062,0","0,08K","0,53%"
"28/04/2025","2.060,0","2.061,0","2.075,0","2.060,0","1,15K","0,00%"
"25/04/2025","2.060,0","2.050,0","2.099,0","2.050,0","2,52K","0,98%"
"24/04/2025","2.040,0","2.040,0","2.089,0","2.040,0","0,02K","1,24%"
"22/04/2025","2.015,0","2.095,0","2.110,0","2.015,0","0,06K","0,50%"
"21/04/2025","2.005,0","2.149,0","2.149,0","2.005,0","0,11K","0,00%"
"18/04/2025","2.005,0","2.080,0","2.098,0","2.005,0","2,10K","-0,25%"
"17/04/2025","2.010,0","2.109,0","2.110,0","2.010,0","0,61K","-1,95%"
"16/04/2025","2.050,0","2.109,0","2.110,0","2.050,0","0,04K","2,50%"
"15/04/2025","2.000,0","2.000,0","2.123,0","2.000,0","0,08K","0,00%"
"14/04/2025","2.000,0","2.124,0","2.124,0","2.000,0","0,23K","1,47%"
"11/04/2025","1.971,0","2.000,0","2.138,0","1.971,0","2,66K","-9,75%"
"10/04/2025","2.184,0","2.185,0","2.185,0","2.090,0","0,03K","8,93%"
"09/04/2025","2.005,0","2.190,0","2.190,0","2.005,0","0,05K","-4,52%"
"08/04/2025","2.100,0","2.199,0","2.199,0","2.100,0","0,02K","-1,41%"
"07/04/2025","2.130,0","2.200,0","2.200,0","2.102,0","0,10K","6,45%"
"04/04/2025","2.001,0","2.149,0","2.293,0","2.001,0","0,24K","-4,71%"
"03/04/2025","2.100,0","2.154,0","2.200,0","2.100,0","0,27K","-0,33%"
"02/04/2025","2.107,0","2.300,0","2.300,0","2.107,0","0,05K","0,33%"
"28/03/2025","2.100,0","2.350,0","2.360,0","2.100,0","0,91K","-2,37%"
"27/03/2025","2.151,0","2.350,0","2.350,0","2.151,0","4,47K","-4,36%"
"26/03/2025","2.249,0","2.380,0","2.380,0","2.249,0","1,87K","-5,31%"
"25/03/2025","2.375,0","2.342,0","2.375,0","2.342,0","0,01K","0,00%"
"24/03/2025","2.375,0","2.332,0","2.375,0","2.332,0","0,01K","2,37%"
"21/03/2025","2.320,0","2.350,0","2.375,0","2.320,0","1,24K","-1,28%"
"19/03/2025","2.350,0","2.306,0","2.379,0","2.306,0","4,62K","1,91%"
"18/03/2025","2.306,0","2.379,0","2.380,0","2.306,0","1,30K","0,17%"
"14/03/2025","2.302,0","2.302,0","2.302,0","2.302,0","0,01K","0,09%"
"13/03/2025","2.300,0","2.300,0","2.300,0","2.300,0","0,10K","0,00%"
"12/03/2025","2.300,0","2.380,0","2.380,0","2.300,0","0,21K","0,00%"
"11/03/2025","2.300,0","2.389,0","2.389,0","2.300,0","1,22K","0,00%"
"10/03/2025","2.300,0","2.389,0","2.389,0","2.260,0","0,06K","-3,73%"
"07/03/2025","2.389,0","2.389,0","2.389,0","2.389,0","0,00K","3,87%"
"06/03/2025","2.300,0","2.350,0","2.350,0","2.300,0","0,03K","-2,13%"
"05/03/2025","2.350,0","2.350,0","2.350,0","2.350,0","0,00K","0,00%"
"04/03/2025","2.350,0","2.398,0","2.398,0","2.350,0","0,04K","0,00%"
"28/02/2025","2.350,0","2.399,0","2.399,0","2.350,0","1,60K","-2,08%"
"26/02/2025","2.400,0","2.350,0","2.400,0","2.350,0","5,14K","0,00%"
"25/02/2025","2.400,0","2.456,0","2.456,0","2.400,0","0,02K","0,00%"
"24/02/2025","2.400,0","2.375,0","2.400,0","2.260,0","0,21K","0,00%"
"20/02/2025","2.400,0","2.351,0","2.400,0","2.351,0","0,04K","2,13%"
