"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"16/05/2025","87,50","88,10","88,10","87,40","123,68K","0,00%"
"15/05/2025","87,50","89,00","89,00","86,00","6,41K","-0,58%"
"14/05/2025","88,01","90,00","91,80","88,01","93,85K","-2,21%"
"13/05/2025","90,00","90,00","92,59","90,00","29,68K","0,00%"
"12/05/2025","90,00","91,60","94,00","90,00","141,40K","0,00%"
"09/05/2025","90,00","81,80","90,00","80,50","2,41M","9,09%"
"08/05/2025","82,50","83,00","85,00","82,50","37,57K","-0,60%"
"07/05/2025","83,00","80,50","83,50","80,50","139,01K","2,34%"
"06/05/2025","81,10","80,50","82,70","80,50","0,85K","-1,10%"
"05/05/2025","82,00","82,50","82,70","82,00","50,83K","-0,24%"
"02/05/2025","82,20","80,30","82,20","80,30","4,22K","-0,36%"
"30/04/2025","82,50","81,81","82,90","80,99","101,23K","1,86%"
"29/04/2025","80,99","79,50","81,90","79,50","124,32K","1,24%"
"28/04/2025","80,00","80,00","81,20","79,00","12,98K","0,00%"
"25/04/2025","80,00","81,00","81,20","80,00","1,52K","-1,23%"
"24/04/2025","81,00","81,20","81,20","79,30","373,88K","0,02%"
"23/04/2025","80,98","81,90","81,90","79,20","2,18K","1,23%"
"22/04/2025","80,00","79,00","82,40","79,00","104,14K","-2,79%"
"21/04/2025","82,30","81,40","82,49","81,10","14,98K","1,11%"
"18/04/2025","81,40","80,74","81,40","79,85","181,91K","1,75%"
"17/04/2025","80,00","80,79","80,79","80,00","346,59K","2,56%"
"16/04/2025","78,00","78,90","80,90","78,00","10,11K","0,00%"
"15/04/2025","78,00","77,70","78,00","77,45","31,56K","4,00%"
"14/04/2025","75,00","75,00","77,70","75,00","20,14K","0,00%"
"11/04/2025","75,00","79,00","79,00","75,00","13,16K","-3,23%"
"10/04/2025","77,50","78,60","78,60","77,40","32,04K","8,39%"
"09/04/2025","71,50","76,00","76,00","71,50","25,46K","-7,14%"
"08/04/2025","77,00","74,80","77,00","74,80","28,84K","6,93%"
"07/04/2025","72,01","77,99","77,99","72,01","43,75K","-9,99%"
"04/04/2025","80,00","79,90","80,00","78,00","45,57K","-1,25%"
"03/04/2025","81,01","87,75","90,00","81,01","58,00K","-9,99%"
"02/04/2025","90,00","81,90","90,00","81,00","61,20K","9,76%"
"28/03/2025","82,00","77,00","82,00","75,00","47,78K","5,13%"
"27/03/2025","78,00","78,00","80,50","76,00","75,94K","0,00%"
"26/03/2025","78,00","74,00","78,00","73,90","32,82K","5,41%"
"25/03/2025","74,00","76,00","76,20","74,00","57,50K","-1,33%"
"24/03/2025","75,00","77,49","77,49","73,90","8,80K","-3,85%"
"21/03/2025","78,00","74,98","78,00","73,00","244,99K","5,41%"
"20/03/2025","74,00","72,80","76,00","72,50","332,08K","2,07%"
"19/03/2025","72,50","67,94","72,50","66,50","53,79K","9,02%"
"18/03/2025","66,50","68,00","68,00","66,15","14,34K","-2,21%"
"17/03/2025","68,00","66,51","68,00","66,20","4,78K","0,00%"
"14/03/2025","68,00","67,85","68,00","66,07","6,37K","0,00%"
"13/03/2025","68,00","68,00","68,00","65,00","6,18K","0,01%"
"12/03/2025","67,99","67,36","67,99","66,00","13,45K","1,48%"
"11/03/2025","67,00","68,39","68,39","67,00","4,80K","-2,62%"
"10/03/2025","68,80","68,98","68,98","66,02","1,02K","-0,99%"
"07/03/2025","69,49","65,10","69,49","65,00","6,98K","5,29%"
"06/03/2025","66,00","67,00","67,40","66,00","3,40K","-0,74%"
"05/03/2025","66,49","65,50","66,50","65,50","0,23K","2,14%"
"04/03/2025","65,10","66,10","66,80","65,00","3,02K","-1,36%"
"03/03/2025","66,00","67,70","67,70","65,00","5,65K","-1,49%"
"28/02/2025","67,00","69,00","69,00","64,50","9,61K","0,74%"
"27/02/2025","66,51","69,00","69,00","66,51","3,94K","-2,18%"
"26/02/2025","67,99","68,11","69,00","67,99","2,94K","-1,45%"
"25/02/2025","68,99","69,78","69,78","68,00","3,57K","-1,09%"
"24/02/2025","69,75","68,50","69,80","68,00","23,04K","-0,07%"
"21/02/2025","69,80","68,00","70,00","68,00","12,91K","1,16%"
"20/02/2025","69,00","69,00","69,00","68,00","25,58K","0,20%"
"19/02/2025","68,86","69,00","69,98","67,36","23,98K","1,12%"
"18/02/2025","68,10","65,00","69,00","65,00","190,27K","-3,61%"
"17/02/2025","70,65","71,10","71,50","70,50","5,22K","-0,49%"
"14/02/2025","71,00","71,50","72,48","70,70","2,05K","-1,92%"
"13/02/2025","72,39","72,50","72,50","72,00","7,41K","0,00%"
"12/02/2025","72,39","73,50","73,50","70,51","21,97K","0,54%"
"11/02/2025","72,00","73,00","73,30","71,02","17,19K","0,56%"
"10/02/2025","71,60","72,75","72,75","71,50","2,27K","-0,21%"
"07/02/2025","71,75","71,00","71,75","70,15","4,46K","1,06%"
"06/02/2025","71,00","70,99","71,20","70,02","3,88K","0,17%"
"05/02/2025","70,88","70,90","70,90","70,00","12,90K","1,26%"
"04/02/2025","70,00","69,00","70,35","68,21","6,77K","1,45%"
"03/02/2025","69,00","71,00","71,60","69,00","6,69K","-2,43%"
"31/01/2025","70,72","72,50","73,00","70,50","28,68K","-1,76%"
"30/01/2025","71,99","74,95","74,95","71,99","116,87K","-0,01%"
"29/01/2025","72,00","74,00","75,00","70,00","990,18K","-0,07%"
"28/01/2025","72,05","71,00","72,59","70,80","206,67K","9,17%"
"27/01/2025","66,00","66,50","66,90","66,00","0,09K","-1,35%"
"24/01/2025","66,90","67,00","67,00","64,20","38,28K","-1,62%"
"23/01/2025","68,00","63,50","68,00","62,90","31,21K","7,27%"
"22/01/2025","63,39","66,00","66,00","63,00","4,88K","0,62%"
"21/01/2025","63,00","68,47","68,47","63,00","7,10K","-3,08%"
"20/01/2025","65,00","68,84","68,84","65,00","5,75K","-1,52%"
"17/01/2025","66,00","68,84","68,84","65,06","14,46K","-1,49%"
"16/01/2025","67,00","67,49","68,01","67,00","11,24K","0,00%"
"15/01/2025","67,00","65,00","67,48","63,60","5,46K","-1,47%"
"13/01/2025","68,00","65,60","68,00","64,00","3,71K","1,49%"
"10/01/2025","67,00","70,00","70,00","67,00","36,88K","-2,19%"
"09/01/2025","68,50","62,48","68,63","61,00","198,13K","9,78%"
"08/01/2025","62,40","60,00","62,50","59,65","212,53K","0,69%"
"07/01/2025","61,97","62,50","62,70","59,40","1,81K","-0,85%"
"06/01/2025","62,50","59,50","63,00","59,20","41,53K","4,53%"
"03/01/2025","59,79","58,50","60,00","57,05","65,80K","3,09%"
"02/01/2025","58,00","57,00","60,00","56,50","21,27K","1,75%"
"31/12/2024","57,00","55,80","57,00","54,00","15,08K","1,79%"
"30/12/2024","56,00","54,90","56,00","53,50","4,87K","0,00%"
"27/12/2024","56,00","53,00","56,00","53,00","29,20K","5,54%"
"26/12/2024","53,06","52,00","53,10","52,00","12,77K","-0,45%"
"25/12/2024","53,30","53,45","53,45","51,60","0,15K","0,00%"
"24/12/2024","53,30","51,70","53,30","51,70","1,28K","0,59%"
"23/12/2024","52,99","53,79","53,79","51,50","1,69K","-1,85%"
"20/12/2024","53,99","53,99","53,99","53,99","0,01K","-0,09%"
"19/12/2024","54,04","53,94","54,05","52,50","2,76K","-0,02%"
"18/12/2024","54,05","53,00","54,49","52,00","2,55K","1,03%"
"17/12/2024","53,50","53,00","53,50","51,83","4,64K","2,88%"
"16/12/2024","52,00","53,80","53,80","52,00","1,38K","-3,35%"
"13/12/2024","53,80","52,20","53,90","52,00","36,55K","1,32%"
"12/12/2024","53,10","53,30","53,30","52,50","0,04K","1,14%"
"11/12/2024","52,50","52,50","53,95","52,50","0,25K","-1,13%"
"10/12/2024","53,10","52,06","53,95","52,06","1,44K","-1,48%"
"09/12/2024","53,90","53,99","53,99","53,50","0,27K","0,75%"
"06/12/2024","53,50","53,20","53,50","52,00","3,64K","0,41%"
"05/12/2024","53,28","51,75","53,28","51,75","0,04K","-0,02%"
"04/12/2024","53,29","53,30","53,30","52,02","0,37K","-0,22%"
"03/12/2024","53,41","52,02","53,41","52,02","0,56K","0,00%"
"02/12/2024","53,41","53,45","53,45","51,81","0,37K","0,77%"
"29/11/2024","53,00","52,99","53,00","51,65","2,66K","0,21%"
"28/11/2024","52,89","52,99","52,99","51,62","0,26K","-0,02%"
"27/11/2024","52,90","51,70","52,90","51,52","1,53K","0,76%"
"26/11/2024","52,50","52,89","52,89","51,51","20,22K","0,02%"
"25/11/2024","52,49","51,56","52,90","51,56","1,08K","-0,02%"
"22/11/2024","52,50","52,50","52,50","52,50","3,20K","0,00%"
"21/11/2024","52,50","51,70","52,50","51,32","32,02K","1,37%"
"20/11/2024","51,79","51,30","51,90","51,30","1,10K","-0,40%"
"19/11/2024","52,00","52,10","52,10","51,20","0,93K","0,00%"
"15/11/2024","52,00","51,50","52,00","51,50","0,91K","0,68%"
"14/11/2024","51,65","51,65","52,00","51,65","1,38K","-0,67%"
"13/11/2024","52,00","52,50","52,50","51,50","3,93K","-0,95%"
"12/11/2024","52,50","53,00","53,00","51,95","1,01K","-0,94%"
"11/11/2024","53,00","53,90","53,90","52,00","3,67K","0,00%"
