"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"16/05/2025","1.440,00","1.470,00","1.488,00","1.440,00","0,25K","-1,37%"
"15/05/2025","1.460,00","1.468,00","1.474,00","1.450,00","1,30K","0,69%"
"14/05/2025","1.450,00","1.419,00","1.487,00","1.419,00","8,86K","2,26%"
"13/05/2025","1.418,00","1.439,00","1.439,00","1.383,00","0,27K","-0,07%"
"12/05/2025","1.419,00","1.302,00","1.419,00","1.300,00","14,90K","8,99%"
"09/05/2025","1.302,00","1.250,00","1.338,00","1.231,00","13,36K","4,08%"
"08/05/2025","1.251,00","1.288,00","1.288,00","1.251,00","0,04K","-0,40%"
"07/05/2025","1.256,00","1.296,00","1.296,00","1.256,00","0,05K","-1,10%"
"06/05/2025","1.270,00","1.295,00","1.295,00","1.270,00","0,21K","-0,78%"
"05/05/2025","1.280,00","1.295,00","1.295,00","1.250,00","0,10K","-1,31%"
"02/05/2025","1.297,00","1.219,00","1.297,00","1.210,00","1,19K","8,08%"
"30/04/2025","1.200,00","1.200,00","1.200,00","1.200,00","0,01K","-1,96%"
"29/04/2025","1.224,00","1.202,00","1.225,00","1.186,00","0,19K","2,00%"
"28/04/2025","1.200,00","1.210,00","1.210,00","1.200,00","0,20K","-0,17%"
"25/04/2025","1.202,00","1.249,00","1.249,00","1.202,00","0,31K","-3,06%"
"24/04/2025","1.240,00","1.200,00","1.299,00","1.200,00","2,82K","2,90%"
"23/04/2025","1.205,00","1.245,00","1.245,00","1.200,00","1,23K","-2,90%"
"22/04/2025","1.241,00","1.271,00","1.298,00","1.241,00","3,10K","-0,80%"
"21/04/2025","1.251,00","1.250,00","1.300,00","1.215,00","1,16K","3,13%"
"18/04/2025","1.213,00","1.126,00","1.225,00","1.125,00","22,90K","7,82%"
"17/04/2025","1.125,00","1.100,00","1.126,00","1.100,00","3,98K","1,81%"
"16/04/2025","1.105,00","1.099,00","1.111,00","1.030,00","0,56K","0,45%"
"15/04/2025","1.100,00","1.060,00","1.100,00","1.060,00","3,33K","3,77%"
"14/04/2025","1.060,00","1.030,00","1.060,00","1.020,00","0,07K","3,82%"
"11/04/2025","1.021,00","1.020,00","1.050,00","1.020,00","0,02K","-3,68%"
"10/04/2025","1.060,00","1.060,00","1.060,00","1.050,00","0,23K","4,95%"
"09/04/2025","1.010,00","1.040,00","1.040,00","996,00","0,21K","0,50%"
"08/04/2025","1.005,00","1.049,00","1.049,00","1.000,00","0,26K","1,01%"
"07/04/2025","995,00","1.000,00","1.058,00","990,00","0,55K","-7,44%"
