"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"15/05/2025","5.135,0","5.135,0","5.135,0","5.135,0","0,02K","0,00%"
"09/05/2025","5.135,0","5.135,0","5.135,0","5.135,0","0,25K","-0,19%"
"08/05/2025","5.145,0","5.144,0","5.145,0","5.144,0","0,02K","-0,10%"
"06/05/2025","5.150,0","5.150,0","5.150,0","5.150,0","1,10K","0,00%"
"05/05/2025","5.150,0","4.986,0","5.150,0","4.986,0","0,75K","0,19%"
"02/05/2025","5.140,0","5.140,0","5.140,0","5.140,0","0,25K","4,92%"
"30/04/2025","4.899,0","4.899,0","4.899,0","4.899,0","0,23K","-0,02%"
"25/04/2025","4.900,0","4.894,0","4.900,0","4.894,0","0,81K","0,12%"
"23/04/2025","4.894,0","4.613,0","4.894,0","4.612,0","0,25K","3,01%"
"22/04/2025","4.751,0","4.751,0","4.751,0","4.751,0","0,80K","-0,02%"
"21/04/2025","4.752,0","4.751,0","4.752,0","4.751,0","0,48K","0,04%"
"18/04/2025","4.750,0","4.800,0","4.800,0","4.750,0","1,43K","-1,00%"
"17/04/2025","4.798,0","4.798,0","4.800,0","4.798,0","0,05K","-2,06%"
"16/04/2025","4.899,0","4.899,0","4.899,0","4.899,0","0,06K","-0,02%"
"15/04/2025","4.900,0","4.640,0","4.900,0","4.508,0","0,31K","8,77%"
"14/04/2025","4.505,0","4.505,0","4.505,0","4.136,0","1,03K","9,99%"
"11/04/2025","4.096,0","4.600,0","4.600,0","4.096,0","0,46K","-9,98%"
"10/04/2025","4.550,0","4.575,0","4.597,0","4.550,0","0,23K","3,41%"
"09/04/2025","4.400,0","4.580,0","4.580,0","4.400,0","0,38K","-3,93%"
"08/04/2025","4.580,0","4.600,0","4.737,0","4.580,0","0,41K","-0,43%"
"07/04/2025","4.600,0","4.600,0","4.600,0","4.600,0","0,05K","-3,97%"
"04/04/2025","4.790,0","4.790,0","4.790,0","4.790,0","0,15K","-2,28%"
"03/04/2025","4.902,0","5.100,0","5.100,0","4.902,0","0,71K","-3,88%"
"02/04/2025","5.100,0","5.100,0","5.100,0","5.100,0","0,00K","0,00%"
"28/03/2025","5.100,0","5.100,0","5.100,0","5.100,0","1,30K","-8,93%"
"27/03/2025","5.600,0","5.180,0","5.600,0","5.180,0","3,85K","7,69%"
"26/03/2025","5.200,0","4.721,0","5.200,0","4.721,0","0,54K","0,00%"
"25/03/2025","5.200,0","4.682,0","5.200,0","4.682,0","0,88K","0,00%"
"24/03/2025","5.200,0","5.200,0","5.200,0","5.200,0","0,00K","4,00%"
"21/03/2025","5.000,0","5.000,0","5.000,0","5.000,0","0,01K","1,03%"
"20/03/2025","4.949,0","4.600,0","4.949,0","4.600,0","0,59K","7,59%"
"19/03/2025","4.600,0","4.600,0","4.600,0","4.500,0","0,25K","0,00%"
"18/03/2025","4.600,0","4.600,0","4.600,0","4.600,0","0,02K","2,22%"
"14/03/2025","4.500,0","4.550,0","4.550,0","4.500,0","0,22K","-1,10%"
"13/03/2025","4.550,0","4.320,0","4.550,0","4.320,0","0,70K","2,25%"
"12/03/2025","4.450,0","4.381,0","4.450,0","4.380,0","0,21K","-1,11%"
"07/03/2025","4.500,0","4.500,0","4.500,0","4.500,0","0,28K","0,00%"
"06/03/2025","4.500,0","4.500,0","4.500,0","4.500,0","0,11K","3,16%"
"05/03/2025","4.362,0","4.362,0","4.362,0","4.362,0","0,50K","-1,98%"
"04/03/2025","4.450,0","4.450,0","4.450,0","4.450,0","0,80K","-1,11%"
"27/02/2025","4.500,0","4.450,0","4.500,0","4.450,0","2,05K","0,22%"
"26/02/2025","4.490,0","4.490,0","4.490,0","4.351,0","3,31K","0,00%"
"25/02/2025","4.490,0","4.490,0","4.490,0","4.490,0","0,03K","2,05%"
"24/02/2025","4.400,0","4.400,0","4.400,0","4.400,0","","0,00%"
"21/02/2025","4.400,0","4.400,0","4.400,0","4.400,0","0,14K","1,15%"
"20/02/2025","4.350,0","4.400,0","4.400,0","4.350,0","0,19K","-2,03%"
"19/02/2025","4.440,0","4.449,0","4.450,0","4.440,0","0,08K","-0,22%"
"18/02/2025","4.450,0","4.450,0","4.450,0","4.450,0","0,00K","0,00%"
"17/02/2025","4.450,0","4.450,0","4.450,0","4.450,0","0,51K","0,00%"
"14/02/2025","4.450,0","4.450,0","4.450,0","4.450,0","0,40K","0,00%"
"13/02/2025","4.450,0","4.450,0","4.450,0","4.450,0","0,02K","0,00%"
"11/02/2025","4.450,0","4.499,0","4.499,0","4.450,0","0,26K","-1,11%"
"10/02/2025","4.500,0","4.500,0","4.500,0","4.500,0","0,00K","1,58%"
"07/02/2025","4.430,0","4.430,0","4.430,0","4.430,0","0,16K","-0,45%"
"06/02/2025","4.450,0","4.450,0","4.450,0","4.450,0","0,50K","-1,11%"
"05/02/2025","4.500,0","4.500,0","4.500,0","4.500,0","0,15K","0,00%"
"04/02/2025","4.500,0","4.500,0","4.500,0","4.500,0","1,50K","0,00%"
"28/01/2025","4.500,0","4.500,0","4.500,0","4.500,0","1,11K","0,00%"
"24/01/2025","4.500,0","4.500,0","4.500,0","4.500,0","1,59K","-1,32%"
"23/01/2025","4.560,0","4.495,0","4.560,0","4.431,0","1,55K","2,80%"
"22/01/2025","4.436,0","4.436,0","4.436,0","4.436,0","0,40K","-2,51%"
"20/01/2025","4.550,0","4.550,0","4.550,0","4.550,0","0,00K","-2,99%"
"17/01/2025","4.690,0","4.690,0","4.690,0","4.690,0","0,51K","-4,09%"
"16/01/2025","4.890,0","4.890,0","4.890,0","4.890,0","0,00K","2,95%"
"15/01/2025","4.750,0","4.750,0","4.750,0","4.750,0","1,06K","3,49%"
"13/01/2025","4.590,0","4.500,0","4.590,0","4.440,0","0,22K","0,00%"
"10/01/2025","4.590,0","4.362,0","4.590,0","4.362,0","1,36K","0,00%"
"09/01/2025","4.590,0","4.500,0","4.590,0","4.500,0","0,54K","0,00%"
"08/01/2025","4.590,0","4.337,0","4.599,0","4.337,0","0,52K","5,86%"
"07/01/2025","4.336,0","4.410,0","4.410,0","4.336,0","0,06K","-3,64%"
"06/01/2025","4.500,0","4.404,0","4.500,0","4.404,0","0,05K","-0,88%"
"03/01/2025","4.540,0","4.450,0","4.540,0","4.450,0","1,31K","3,18%"
"02/01/2025","4.400,0","4.335,0","4.400,0","4.331,0","1,13K","-1,35%"
"30/12/2024","4.460,0","4.460,0","4.460,0","4.460,0","0,01K","0,22%"
"27/12/2024","4.450,0","4.400,0","4.450,0","4.300,0","1,49K","-1,07%"
"23/12/2024","4.498,0","4.290,0","4.498,0","4.290,0","0,59K","5,74%"
"20/12/2024","4.254,0","4.230,0","4.260,0","4.230,0","0,20K","0,09%"
"19/12/2024","4.250,0","4.260,0","4.260,0","4.250,0","0,12K","-0,23%"
"18/12/2024","4.260,0","4.270,0","4.270,0","4.260,0","0,41K","-0,91%"
"17/12/2024","4.299,0","4.302,0","4.428,0","4.299,0","0,29K","-0,02%"
"16/12/2024","4.300,0","4.300,0","4.300,0","4.300,0","0,01K","-2,93%"
"13/12/2024","4.430,0","4.425,0","4.430,0","4.300,0","0,54K","3,00%"
"12/12/2024","4.301,0","4.400,0","4.400,0","4.299,0","1,13K","-2,91%"
"06/12/2024","4.430,0","4.430,0","4.430,0","4.430,0","0,06K","-0,76%"
"05/12/2024","4.464,0","4.355,0","4.464,0","4.351,0","0,13K","-1,13%"
