"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"06/05/2025","133,05","133,05","133,05","133,05","0,01K","-5,97%"
"05/05/2025","141,50","141,50","141,50","141,50","0,00K","-5,98%"
"02/05/2025","150,50","150,50","150,50","150,50","0,01K","0,33%"
"30/04/2025","150,00","150,00","150,00","150,00","0,01K","0,00%"
"29/04/2025","150,00","150,00","150,00","150,00","0,05K","0,00%"
"28/04/2025","150,00","150,00","150,00","150,00","0,02K","2,08%"
"24/04/2025","146,95","146,95","146,95","146,95","0,01K","3,49%"
"18/04/2025","142,00","142,00","142,00","142,00","0,00K","0,67%"
"11/04/2025","141,05","141,05","141,05","141,05","0,03K","-5,97%"
"10/04/2025","150,00","150,00","150,00","150,00","0,02K","0,00%"
"04/04/2025","150,00","150,00","150,00","150,00","0,02K","0,00%"
"03/04/2025","150,00","150,00","150,00","150,00","0,00K","1,73%"
"02/04/2025","147,45","147,45","147,45","147,45","0,01K","-5,99%"
"28/03/2025","156,85","156,85","156,85","156,85","0,00K","-5,99%"
"27/03/2025","166,85","166,85","166,85","166,85","0,01K","-0,03%"
"26/03/2025","166,90","166,90","166,90","166,90","0,02K","-0,06%"
"24/03/2025","167,00","167,00","167,00","167,00","0,00K","-0,27%"
"21/03/2025","167,45","167,45","167,45","167,45","0,02K","5,98%"
"20/03/2025","158,00","158,00","158,00","158,00","0,00K","5,33%"
"19/03/2025","150,00","150,00","150,00","150,00","0,12K","5,63%"
"18/03/2025","142,00","142,00","142,00","142,00","0,00K","1,43%"
"17/03/2025","140,00","140,00","140,00","140,00","0,13K","4,48%"
"10/03/2025","134,00","134,00","134,00","134,00","0,00K","5,89%"
"07/03/2025","126,55","126,55","126,55","126,55","0,00K","-5,98%"
"05/03/2025","134,60","134,60","134,60","134,60","0,00K","5,98%"
"28/02/2025","127,00","127,00","127,00","127,00","0,02K","1,60%"
"26/02/2025","125,00","125,00","125,00","125,00","0,14K","4,17%"
"24/02/2025","120,00","120,00","120,00","120,00","0,03K","-0,41%"
"20/02/2025","120,50","120,50","120,50","120,50","0,10K","0,00%"
"19/02/2025","120,50","120,50","120,50","120,50","0,02K","-5,97%"
"18/02/2025","128,15","128,15","128,15","128,15","0,20K","-5,98%"
"17/02/2025","136,30","136,30","136,30","136,30","0,00K","-5,97%"
"13/02/2025","144,95","144,95","144,95","144,95","0,01K","-5,97%"
"12/02/2025","154,15","154,15","154,15","154,15","0,00K","0,00%"
"11/02/2025","154,15","154,15","154,15","154,15","0,24K","5,98%"
"07/02/2025","145,45","145,45","145,45","145,45","0,05K","5,97%"
"05/02/2025","137,25","137,25","137,25","137,25","0,00K","-5,99%"
"30/01/2025","146,00","146,00","146,00","146,00","0,06K","-2,67%"
"27/01/2025","150,00","150,00","150,00","150,00","0,06K","5,63%"
"24/01/2025","142,00","142,00","142,00","142,00","0,01K","5,19%"
"22/01/2025","135,00","135,00","135,00","135,00","0,16K","-0,30%"
"21/01/2025","135,40","135,40","135,40","135,40","0,01K","-5,97%"
"17/01/2025","144,00","144,00","144,00","144,00","0,09K","-3,61%"
"16/01/2025","149,40","149,40","149,40","149,40","0,25K","-5,44%"
"15/01/2025","158,00","158,00","158,00","158,00","0,06K","5,76%"
"13/01/2025","149,40","149,40","149,40","149,40","0,00K","6,00%"
"10/01/2025","140,95","140,95","140,95","140,95","0,11K","5,98%"
"09/01/2025","133,00","133,00","133,00","133,00","0,02K","5,56%"
"08/01/2025","126,00","126,00","126,00","126,00","0,31K","0,00%"
"07/01/2025","126,00","126,00","126,00","126,00","0,22K","4,22%"
"06/01/2025","120,90","120,90","120,90","120,90","0,01K","5,68%"
"03/01/2025","114,40","114,40","114,40","114,40","0,01K","5,97%"
"02/01/2025","107,95","107,95","107,95","107,95","0,25K","5,83%"
"31/12/2024","102,00","102,00","102,00","102,00","0,02K","-0,39%"
"30/12/2024","102,40","102,40","102,40","102,40","0,00K","5,96%"
"26/12/2024","96,64","96,64","96,64","96,64","0,00K","6,00%"
"18/12/2024","91,17","91,17","91,17","91,17","0,00K","6,00%"
"12/12/2024","86,01","86,01","86,01","86,01","0,01K","1,18%"
"27/11/2024","85,01","85,01","85,01","85,01","0,00K","-3,80%"
"26/11/2024","88,37","88,37","88,37","88,37","0,00K","-6,00%"
"21/11/2024","94,01","94,01","94,01","94,01","0,01K","-3,85%"
"20/11/2024","97,77","97,77","97,77","97,77","0,04K","-5,99%"
"13/11/2024","104,00","104,00","104,00","104,00","0,01K","0,00%"
"12/11/2024","104,00","104,00","104,00","104,00","0,20K","0,00%"
"11/11/2024","104,00","104,00","104,00","104,00","0,12K","-0,67%"
"08/11/2024","104,70","104,70","104,70","104,70","0,00K","-5,97%"
"07/11/2024","111,35","111,35","111,35","111,35","0,00K","-5,99%"
"04/11/2024","118,45","118,45","118,45","118,45","0,00K","-5,99%"
"08/10/2024","126,00","126,00","126,00","126,00","0,15K","0,00%"
"07/10/2024","126,00","126,00","126,00","126,00","0,00K","-4,55%"
"03/10/2024","132,00","132,00","132,00","132,00","0,03K","-5,71%"
"02/10/2024","140,00","140,00","140,00","140,00","0,01K","-4,76%"
"01/10/2024","147,00","147,00","147,00","147,00","0,00K","-0,64%"
"30/09/2024","147,95","147,95","147,95","147,95","0,01K","-5,97%"
"27/09/2024","157,35","157,35","157,35","157,35","0,28K","-5,98%"
"26/09/2024","167,35","167,35","167,35","167,35","0,00K","-5,98%"
"25/09/2024","178,00","178,00","178,00","178,00","0,20K","-1,06%"
"24/09/2024","179,90","179,90","179,90","179,90","0,01K","1,07%"
"20/09/2024","178,00","178,00","178,00","178,00","0,03K","1,71%"
"19/09/2024","175,00","175,00","175,00","175,00","0,02K","2,94%"
"18/09/2024","170,00","170,00","170,00","170,00","0,02K","3,50%"
"13/09/2024","164,25","164,25","164,25","164,25","0,21K","5,97%"
"12/09/2024","155,00","155,00","155,00","155,00","0,32K","0,00%"
"11/09/2024","155,00","155,00","155,00","155,00","0,30K","0,00%"
"10/09/2024","155,00","155,00","155,00","155,00","0,09K","3,33%"
"09/09/2024","150,00","150,00","150,00","150,00","0,24K","5,97%"
"06/09/2024","141,55","141,55","141,55","141,55","0,00K","5,99%"
"05/09/2024","133,55","133,55","133,55","133,55","0,00K","5,99%"
"04/09/2024","126,00","126,00","126,00","126,00","0,01K","5,88%"
"03/09/2024","119,00","119,00","119,00","119,00","0,01K","5,97%"
"02/09/2024","112,30","112,30","112,30","112,30","0,00K","5,99%"
"30/08/2024","105,95","105,95","105,95","105,95","0,20K","5,95%"
"29/08/2024","100,00","100,00","100,00","100,00","0,04K","4,83%"
"28/08/2024","95,39","95,39","95,39","95,39","0,03K","5,99%"
"27/08/2024","90,00","90,00","90,00","90,00","0,01K","3,45%"
"26/08/2024","87,00","87,00","87,00","87,00","0,10K","2,61%"
"23/08/2024","84,79","84,79","84,79","84,79","0,00K","5,99%"
"22/08/2024","80,00","80,00","80,00","80,00","0,10K","0,00%"
"16/08/2024","80,00","80,00","80,00","80,00","0,02K","-5,88%"
"09/08/2024","85,00","85,00","85,00","85,00","0,08K","0,00%"
"08/08/2024","85,00","85,00","85,00","85,00","0,03K","5,59%"
"07/08/2024","80,50","80,50","80,50","80,50","0,07K","0,00%"
"06/08/2024","80,50","80,50","80,50","80,50","0,10K","0,00%"
"05/08/2024","80,50","80,50","80,50","80,50","0,00K","0,00%"
"02/08/2024","80,50","80,50","80,50","80,50","0,02K","0,41%"
"01/08/2024","80,17","80,17","80,17","80,17","0,02K","5,99%"
"29/07/2024","75,64","75,64","75,64","75,64","0,05K","0,01%"
"26/07/2024","75,63","75,63","75,63","75,63","0,01K","-5,99%"
"24/07/2024","80,45","80,45","80,45","80,45","0,05K","1,96%"
"22/07/2024","78,90","78,90","78,90","78,90","0,03K","0,00%"
"18/07/2024","78,90","78,90","78,90","78,90","0,03K","-0,13%"
"17/07/2024","79,00","79,00","79,00","79,00","0,03K","3,95%"
"12/07/2024","76,00","76,00","76,00","76,00","0,02K","0,85%"
"14/06/2024","75,36","75,36","75,36","75,36","0,00K","5,99%"
"17/05/2024","71,10","71,10","71,10","71,10","0,03K","-4,45%"
"14/05/2024","74,41","74,41","74,41","74,41","0,10K","6,00%"
"30/04/2024","70,20","70,20","70,20","70,20","0,14K","-4,27%"
"29/04/2024","73,33","73,33","73,33","73,33","0,06K","-5,99%"
"24/04/2024","78,00","78,00","78,00","78,00","0,06K","0,00%"
"22/04/2024","78,00","78,00","78,00","78,00","0,00K","-0,55%"
"18/04/2024","78,43","78,43","78,43","78,43","0,20K","5,99%"
"17/04/2024","74,00","74,00","74,00","74,00","0,01K","2,29%"
"16/04/2024","72,34","72,34","72,34","72,34","0,00K","-5,99%"
"15/04/2024","76,95","76,95","76,95","76,95","0,01K","-0,06%"
"20/03/2024","77,00","77,00","77,00","77,00","0,01K","-0,76%"
"07/03/2024","77,59","77,59","77,59","77,59","0,03K","3,45%"
"06/03/2024","75,00","75,00","75,00","75,00","0,00K","-3,34%"
"01/03/2024","77,59","77,59","77,59","77,59","0,00K","3,45%"
"28/02/2024","75,00","75,00","75,00","75,00","0,05K","0,03%"
"27/02/2024","74,98","74,98","74,98","74,98","0,00K","5,99%"
"22/02/2024","70,74","70,74","70,74","70,74","0,04K","-5,99%"
"15/02/2024","75,25","75,25","75,25","75,25","0,00K","5,99%"
"14/02/2024","71,00","71,00","71,00","71,00","0,02K","-1,39%"
"12/02/2024","72,00","72,00","72,00","72,00","0,01K","-1,81%"
"07/02/2024","73,33","73,33","73,33","73,33","0,04K","-5,99%"
"05/02/2024","78,00","78,00","78,00","78,00","0,01K","0,00%"
"26/01/2024","78,00","78,00","78,00","78,00","0,05K","0,00%"
"24/01/2024","78,00","78,00","78,00","78,00","0,00K","5,95%"
"23/01/2024","73,62","73,62","73,62","73,62","0,00K","-5,62%"
"18/01/2024","78,00","78,00","78,00","78,00","0,04K","-1,20%"
"15/01/2024","78,95","78,95","78,95","78,95","0,02K","1,22%"
"10/01/2024","78,00","78,00","78,00","78,00","0,02K","-0,64%"
"05/01/2024","78,50","78,50","78,50","78,50","0,02K","-0,57%"
"04/01/2024","78,95","78,95","78,95","78,95","0,01K","2,67%"
"03/01/2024","76,90","76,90","76,90","76,90","0,10K","3,92%"
"02/01/2024","74,00","74,00","74,00","74,00","0,00K","5,41%"
"29/12/2023","70,20","70,20","70,20","70,20","0,30K","0,00%"
"28/12/2023","70,20","70,20","70,20","70,20","0,11K","0,29%"
"25/12/2023","70,00","70,00","70,00","70,00","0,01K","-4,76%"
"19/12/2023","73,50","73,50","73,50","73,50","0,01K","-5,95%"
"12/12/2023","78,15","78,15","78,15","78,15","0,00K","-5,84%"
"08/12/2023","83,00","83,00","83,00","83,00","0,01K","-4,04%"
"13/11/2023","86,49","86,49","86,49","86,49","0,03K","-5,99%"
