"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"14/05/2025","1.170,00","1.170,00","1.170,00","1.170,00","0,03K","-0,34%"
"13/05/2025","1.174,00","1.174,00","1.174,00","1.174,00","0,10K","5,86%"
"12/05/2025","1.109,00","1.109,00","1.109,00","1.109,00","0,02K","2,69%"
"09/05/2025","1.080,00","1.080,00","1.080,00","1.080,00","0,11K","5,47%"
"08/05/2025","1.024,00","1.024,00","1.024,00","1.024,00","0,04K","5,57%"
"07/05/2025","970,00","970,00","970,00","970,00","0,08K","0,00%"
"06/05/2025","970,00","970,00","970,00","970,00","0,03K","1,04%"
"05/05/2025","960,00","960,00","960,00","960,00","0,00K","0,21%"
"29/04/2025","958,00","958,00","958,00","958,00","0,13K","-0,21%"
"28/04/2025","960,00","960,00","960,00","960,00","0,01K","0,00%"
"25/04/2025","960,00","960,00","960,00","960,00","0,00K","1,05%"
"24/04/2025","950,00","950,00","950,00","950,00","0,00K","-3,85%"
"22/04/2025","988,00","988,00","988,00","988,00","0,01K","-0,20%"
"18/04/2025","990,00","990,00","990,00","990,00","0,00K","5,32%"
"17/04/2025","940,00","940,00","940,00","940,00","0,09K","-1,16%"
"16/04/2025","951,00","951,00","951,00","951,00","0,09K","0,96%"
"15/04/2025","942,00","942,00","942,00","942,00","0,09K","0,21%"
"14/04/2025","940,00","940,00","940,00","940,00","0,03K","-3,79%"
"11/04/2025","977,00","977,00","977,00","977,00","0,02K","-1,96%"
"09/04/2025","996,50","996,50","996,50","996,50","0,00K","6,00%"
"07/04/2025","940,10","940,10","940,10","940,10","0,00K","-5,99%"
"02/04/2025","1.000,00","1.000,00","1.000,00","1.000,00","0,01K","3,09%"
"26/03/2025","970,00","970,00","970,00","970,00","0,02K","-2,51%"
"14/03/2025","995,00","995,00","995,00","995,00","0,01K","5,96%"
"13/03/2025","939,00","939,00","939,00","939,00","0,03K","0,00%"
"12/03/2025","939,00","939,00","939,00","939,00","0,00K","0,00%"
"10/03/2025","939,00","939,00","939,00","939,00","0,00K","0,11%"
"07/03/2025","938,00","938,00","938,00","938,00","0,01K","-4,10%"
"28/02/2025","978,10","978,10","978,10","978,10","0,00K","0,09%"
"24/02/2025","977,20","977,20","977,20","977,20","","0,00%"
"21/02/2025","977,20","977,20","977,20","977,20","0,02K","-5,49%"
"10/02/2025","1.034,00","1.034,00","1.034,00","1.034,00","0,02K","5,93%"
"07/02/2025","976,10","976,10","976,10","976,10","0,25K","0,01%"
"06/02/2025","976,00","976,00","976,00","976,00","0,00K","-0,10%"
"31/01/2025","977,00","977,00","977,00","977,00","0,00K","-1,31%"
"22/01/2025","990,00","990,00","990,00","990,00","0,01K","3,13%"
"16/01/2025","960,00","960,00","960,00","960,00","0,06K","1,05%"
"15/01/2025","950,00","950,00","950,00","950,00","0,02K","-4,04%"
"09/01/2025","990,00","990,00","990,00","990,00","0,00K","-1,00%"
"06/01/2025","1.000,00","1.000,00","1.000,00","1.000,00","0,05K","0,10%"
"03/01/2025","999,00","999,00","999,00","999,00","0,01K","-0,09%"
"02/01/2025","999,90","999,90","999,90","999,90","0,02K","5,25%"
"31/12/2024","950,00","950,00","950,00","950,00","0,01K","4,40%"
