"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"16/05/2025","1.062,00","1.062,00","1.062,00","1.062,00","0,02K","0,19%"
"15/05/2025","1.060,00","1.070,00","1.070,00","1.060,00","2,20K","0,19%"
"13/05/2025","1.058,00","1.058,00","1.058,00","1.058,00","0,00K","-0,94%"
"12/05/2025","1.068,00","1.068,00","1.068,00","1.068,00","0,05K","1,33%"
"09/05/2025","1.054,00","1.052,00","1.060,00","1.052,00","0,06K","0,19%"
"08/05/2025","1.052,00","1.052,00","1.052,00","1.052,00","0,00K","-1,31%"
"07/05/2025","1.066,00","1.066,00","1.066,00","1.066,00","0,05K","1,04%"
"06/05/2025","1.055,00","1.060,00","1.066,00","1.055,00","0,30K","-1,03%"
"05/05/2025","1.066,00","1.050,00","1.066,00","1.050,00","0,10K","0,57%"
"02/05/2025","1.060,00","1.059,00","1.060,00","1.059,00","0,01K","1,44%"
"25/04/2025","1.045,00","1.045,00","1.045,00","1.045,00","0,03K","-0,57%"
"22/04/2025","1.051,00","1.070,00","1.070,00","1.051,00","0,01K","0,00%"
"21/04/2025","1.051,00","1.051,00","1.051,00","1.051,00","0,00K","0,00%"
"18/04/2025","1.051,00","1.051,00","1.051,00","1.051,00","0,36K","0,10%"
"17/04/2025","1.050,00","1.052,00","1.052,00","1.050,00","0,05K","0,00%"
"16/04/2025","1.050,00","1.051,00","1.051,00","1.050,00","0,02K","0,48%"
"15/04/2025","1.045,00","1.068,00","1.068,00","1.045,00","0,07K","0,38%"
"10/04/2025","1.041,00","1.044,00","1.044,00","1.040,00","0,14K","-0,19%"
"09/04/2025","1.043,00","1.046,00","1.046,00","1.043,00","0,53K","-0,29%"
"08/04/2025","1.046,00","1.060,00","1.060,00","1.045,00","0,68K","-2,24%"
"07/04/2025","1.070,00","1.060,00","1.070,00","1.060,00","0,76K","0,38%"
"03/04/2025","1.066,00","1.093,00","1.093,00","1.066,00","0,42K","-3,96%"
"02/04/2025","1.110,00","1.110,00","1.110,00","1.110,00","0,02K","0,00%"
"28/03/2025","1.110,00","1.110,00","1.110,00","1.077,00","0,27K","0,00%"
"27/03/2025","1.110,00","1.140,00","1.140,00","1.110,00","1,18K","-0,18%"
"26/03/2025","1.112,00","1.140,00","1.140,00","1.112,00","11,12K","-2,46%"
"25/03/2025","1.140,00","1.198,00","1.198,00","1.140,00","0,11K","-3,06%"
"24/03/2025","1.176,00","1.110,00","1.177,00","1.110,00","0,25K","5,95%"
"21/03/2025","1.110,00","1.066,00","1.110,00","1.060,00","0,67K","4,03%"
"20/03/2025","1.067,00","1.063,00","1.067,00","1.063,00","0,06K","0,38%"
"19/03/2025","1.063,00","1.055,00","1.063,00","1.050,00","0,88K","1,43%"
"18/03/2025","1.048,00","1.048,00","1.048,00","1.048,00","0,02K","0,19%"
"17/03/2025","1.046,00","1.046,00","1.047,00","1.046,00","0,07K","0,19%"
"14/03/2025","1.044,00","1.044,00","1.044,00","1.044,00","0,01K","0,19%"
"13/03/2025","1.042,00","1.045,00","1.050,00","1.042,00","9,81K","-0,76%"
"12/03/2025","1.050,00","1.050,00","1.056,00","1.050,00","3,62K","-0,47%"
"11/03/2025","1.055,00","1.055,00","1.056,00","1.055,00","0,50K","-0,09%"
"10/03/2025","1.056,00","1.056,00","1.056,00","1.056,00","0,02K","0,00%"
"07/03/2025","1.056,00","1.051,00","1.056,00","1.051,00","0,66K","1,05%"
"06/03/2025","1.045,00","1.045,00","1.045,00","1.045,00","0,03K","0,38%"
"05/03/2025","1.041,00","1.050,00","1.050,00","1.041,00","2,17K","-0,86%"
"04/03/2025","1.050,00","1.051,00","1.051,00","1.050,00","0,14K","0,00%"
"03/03/2025","1.050,00","1.050,00","1.050,00","1.050,00","0,03K","0,00%"
"28/02/2025","1.050,00","1.052,00","1.055,00","1.050,00","0,45K","-0,28%"
"27/02/2025","1.053,00","1.054,00","1.055,00","1.052,00","0,43K","-0,28%"
"26/02/2025","1.056,00","1.051,00","1.056,00","1.051,00","0,73K","0,38%"
"25/02/2025","1.052,00","1.054,00","1.054,00","1.050,00","2,87K","1,06%"
"24/02/2025","1.041,00","1.041,00","1.041,00","1.041,00","0,00K","0,10%"
"21/02/2025","1.040,00","1.050,00","1.050,00","1.037,00","0,33K","-1,05%"
"20/02/2025","1.051,00","1.050,00","1.056,00","1.043,00","0,68K","0,10%"
"19/02/2025","1.050,00","1.067,00","1.067,00","1.040,00","0,68K","-1,41%"
"18/02/2025","1.065,00","1.060,00","1.075,00","1.060,00","0,10K","0,95%"
"17/02/2025","1.055,00","1.049,00","1.055,00","1.046,00","0,02K","0,96%"
"14/02/2025","1.045,00","1.055,00","1.055,00","1.045,00","1,00K","-0,95%"
"13/02/2025","1.055,00","1.078,00","1.080,00","1.055,00","8,09K","0,48%"
"12/02/2025","1.050,00","1.099,00","1.099,00","1.043,00","2,71K","0,48%"
"11/02/2025","1.045,00","1.108,00","1.108,00","1.045,00","2,62K","-14,27%"
"06/12/2024","1.219,00","1.200,00","1.219,00","1.200,00","0,83K","2,27%"
"05/12/2024","1.192,00","1.192,00","1.192,00","1.192,00","0,00K","2,94%"
"04/12/2024","1.158,00","1.158,00","1.158,00","1.120,00","0,73K","9,97%"
"03/12/2024","1.053,00","1.083,00","1.083,00","1.053,00","0,04K","-0,38%"
"26/11/2024","1.057,00","1.082,00","1.082,00","1.057,00","0,16K","0,00%"
"21/11/2024","1.057,00","1.100,00","1.100,00","1.057,00","0,11K","0,09%"
"20/11/2024","1.056,00","1.056,00","1.056,00","1.056,00","0,00K","0,48%"
"15/11/2024","1.051,00","1.089,00","1.089,00","1.051,00","0,71K","-3,31%"
"13/11/2024","1.087,00","1.090,00","1.090,00","1.087,00","0,11K","-0,18%"
"12/11/2024","1.089,00","1.130,00","1.130,00","1.089,00","0,14K","-1,00%"
"11/11/2024","1.100,00","1.100,00","1.100,00","1.100,00","0,46K","0,09%"
"08/11/2024","1.099,00","1.100,00","1.100,00","1.099,00","0,09K","0,00%"
"07/11/2024","1.099,00","1.099,00","1.099,00","1.099,00","0,00K","-0,09%"
"04/11/2024","1.100,00","1.100,00","1.100,00","1.100,00","0,00K","0,00%"
"01/11/2024","1.100,00","1.099,00","1.100,00","1.099,00","1,40K","0,27%"
"31/10/2024","1.097,00","1.097,00","1.097,00","1.097,00","0,46K","-0,27%"
"30/10/2024","1.100,00","1.100,00","1.100,00","1.100,00","0,01K","1,48%"
"28/10/2024","1.084,00","1.084,00","1.084,00","1.084,00","0,10K","0,00%"
"16/10/2024","1.084,00","1.085,00","1.085,00","1.084,00","0,21K","0,18%"
"15/10/2024","1.082,00","1.080,00","1.082,00","1.080,00","0,17K","-7,52%"
"11/10/2024","1.170,00","1.170,00","1.170,00","1.170,00","0,20K","0,60%"
"10/10/2024","1.163,00","1.158,00","1.163,00","1.158,00","0,03K","-0,34%"
"02/10/2024","1.167,00","1.167,00","1.167,00","1.167,00","0,00K","8,06%"
"30/09/2024","1.080,00","1.085,00","1.085,00","1.080,00","1,80K","0,00%"
"27/09/2024","1.080,00","1.098,00","1.098,00","1.080,00","0,21K","-1,64%"
"26/09/2024","1.098,00","1.098,00","1.098,00","1.098,00","4,50K","0,73%"
"24/09/2024","1.090,00","1.093,00","1.093,00","1.090,00","0,13K","0,00%"
"23/09/2024","1.090,00","1.104,00","1.104,00","1.090,00","0,05K","-1,27%"
"20/09/2024","1.104,00","1.104,00","1.104,00","1.104,00","0,00K","0,55%"
"10/09/2024","1.098,00","1.098,00","1.098,00","1.098,00","0,01K","0,73%"
"09/09/2024","1.090,00","1.098,00","1.098,00","1.090,00","0,03K","-0,73%"
"06/09/2024","1.098,00","1.097,00","1.098,00","1.097,00","0,45K","0,09%"
"05/09/2024","1.097,00","1.097,00","1.097,00","1.097,00","0,02K","0,00%"
"04/09/2024","1.097,00","1.097,00","1.097,00","1.097,00","0,07K","0,00%"
"03/09/2024","1.097,00","1.097,00","1.097,00","1.097,00","0,01K","0,00%"
"02/09/2024","1.097,00","1.101,00","1.101,00","1.097,00","0,05K","-0,27%"
"30/08/2024","1.100,00","1.110,00","1.110,00","1.100,00","0,81K","0,00%"
"29/08/2024","1.100,00","1.150,00","1.150,00","1.100,00","0,60K","-6,78%"
"28/08/2024","1.180,00","1.180,00","1.180,00","1.180,00","0,00K","2,61%"
"26/08/2024","1.150,00","1.150,00","1.150,00","1.150,00","0,07K","1,05%"
"23/08/2024","1.138,00","1.138,00","1.138,00","1.138,00","0,02K","0,00%"
"22/08/2024","1.138,00","1.138,00","1.138,00","1.138,00","0,05K","0,00%"
