"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"15/05/2025","1.223,00","1.223,00","1.223,00","1.223,00","0,00K","3,38%"
"14/05/2025","1.183,00","1.183,00","1.183,00","1.183,00","0,01K","-3,27%"
"28/04/2025","1.223,00","1.223,00","1.223,00","1.223,00","0,01K","0,00%"
"21/04/2025","1.223,00","1.223,00","1.223,00","1.223,00","0,02K","5,89%"
"18/04/2025","1.155,00","1.155,00","1.155,00","1.155,00","0,00K","-5,56%"
"15/04/2025","1.223,00","1.223,00","1.223,00","1.223,00","0,00K","0,41%"
"11/04/2025","1.218,00","1.218,00","1.218,00","1.218,00","0,00K","5,82%"
"08/04/2025","1.151,00","1.151,00","1.151,00","1.151,00","0,00K","-5,89%"
"03/04/2025","1.223,00","1.223,00","1.223,00","1.223,00","0,01K","0,00%"
"02/04/2025","1.223,00","1.223,00","1.223,00","1.223,00","0,00K","-2,16%"
"28/03/2025","1.250,00","1.250,00","1.250,00","1.250,00","0,00K","0,00%"
"26/03/2025","1.250,00","1.250,00","1.250,00","1.250,00","0,00K","0,00%"
"20/03/2025","1.250,00","1.250,00","1.250,00","1.250,00","0,00K","0,00%"
"19/03/2025","1.250,00","1.250,00","1.250,00","1.250,00","0,02K","2,21%"
"14/03/2025","1.223,00","1.223,00","1.223,00","1.223,00","0,11K","0,00%"
"13/03/2025","1.223,00","1.223,00","1.223,00","1.223,00","0,08K","0,00%"
"07/03/2025","1.223,00","1.223,00","1.223,00","1.223,00","0,01K","-5,63%"
"05/03/2025","1.296,00","1.296,00","1.296,00","1.296,00","0,00K","5,97%"
"04/03/2025","1.223,00","1.223,00","1.223,00","1.223,00","0,03K","0,00%"
"27/02/2025","1.223,00","1.223,00","1.223,00","1.223,00","0,00K","-5,56%"
"26/02/2025","1.295,00","1.295,00","1.295,00","1.295,00","0,03K","5,97%"
"24/02/2025","1.222,00","1.222,00","1.222,00","1.222,00","","0,00%"
"30/01/2025","1.222,00","1.222,00","1.222,00","1.222,00","0,00K","-5,93%"
"22/01/2025","1.299,00","1.299,00","1.299,00","1.299,00","0,00K","0,00%"
"09/01/2025","1.299,00","1.299,00","1.299,00","1.299,00","0,01K","-5,94%"
"08/01/2025","1.381,00","1.381,00","1.381,00","1.381,00","0,03K","5,82%"
"07/01/2025","1.305,00","1.305,00","1.305,00","1.305,00","0,00K","5,84%"
"24/12/2024","1.233,00","1.233,00","1.233,00","1.233,00","0,02K","-5,15%"
"03/12/2024","1.300,00","1.300,00","1.300,00","1.300,00","0,00K","-1,14%"
"25/10/2024","1.315,00","1.315,00","1.315,00","1.315,00","0,00K","0,00%"
"01/10/2024","1.315,00","1.315,00","1.315,00","1.315,00","0,00K","0,00%"
"30/09/2024","1.315,00","1.315,00","1.315,00","1.315,00","0,00K","-0,53%"
"27/09/2024","1.322,00","1.322,00","1.322,00","1.322,00","0,01K","0,00%"
"25/09/2024","1.322,00","1.322,00","1.322,00","1.322,00","0,00K","0,00%"
"23/09/2024","1.322,00","1.322,00","1.322,00","1.322,00","0,01K","0,53%"
"13/09/2024","1.315,00","1.315,00","1.315,00","1.315,00","0,01K","-0,53%"
"03/09/2024","1.322,00","1.322,00","1.322,00","1.322,00","0,01K","0,53%"
"29/08/2024","1.315,00","1.315,00","1.315,00","1.315,00","0,00K","-0,53%"
"27/08/2024","1.322,00","1.322,00","1.322,00","1.322,00","0,05K","0,08%"
"23/08/2024","1.321,00","1.321,00","1.321,00","1.321,00","0,00K","-5,64%"
"01/08/2024","1.400,00","1.400,00","1.400,00","1.400,00","0,00K","3,70%"
"31/07/2024","1.350,00","1.350,00","1.350,00","1.350,00","0,00K","-3,57%"
"29/07/2024","1.400,00","1.400,00","1.400,00","1.400,00","0,01K","3,02%"
"02/07/2024","1.359,00","1.359,00","1.359,00","1.359,00","0,00K","2,18%"
"01/07/2024","1.330,00","1.330,00","1.330,00","1.330,00","0,00K","-0,45%"
"28/06/2024","1.336,00","1.336,00","1.336,00","1.336,00","0,00K","4,13%"
"11/06/2024","1.283,00","1.283,00","1.283,00","1.283,00","0,02K","-5,59%"
"10/06/2024","1.359,00","1.359,00","1.359,00","1.359,00","0,00K","3,74%"
"05/06/2024","1.310,00","1.310,00","1.310,00","1.310,00","0,00K","-3,89%"
"04/06/2024","1.363,00","1.363,00","1.363,00","1.363,00","0,00K","5,99%"
